Customer_ID,Age,Gender,Purchase_Amount_USD,Satisfaction_Score,Number_of_Orders
1,22,Male,120,8,3
2,35,Female,450,9,10
3,29,Male,80,6,2
4,45,Female,700,10,15
5,31,Male,200,7,5
6,50,Female,1000,9,20
7,28,Male,60,5,1
8,40,Female,300,8,7
9,23,Male,90,6,2
10,38,Female,500,9,12
11,27,Male,150,7,4
12,33,Female,400,8,9
13,41,Male,75,6,3
14,36,Female,650,10,13
15,48,Male,210,7,6
16,25,Female,980,9,19
17,30,Male,55,5,1
18,42,Female,310,8,8
19,39,Male,85,6,2
20,47,Female,520,9,11
21,26,Male,130,8,3
22,34,Female,420,9,10
23,44,Male,78,6,2
24,37,Female,680,10,15
25,49,Male,220,7,5
26,24,Female,970,9,20
27,32,Male,65,5,1
28,43,Female,320,8,7
29,46,Male,88,6,2
30,51,Female,510,9,12
31,29,Male,140,7,4
32,31,Female,430,8,9
33,35,Male,82,6,3
34,40,Female,690,10,13
35,38,Male,230,7,6
36,27,Female,990,9,19
37,36,Male,68,5,1
38,41,Female,330,8,8
39,33,Male,86,6,2
40,45,Female,540,9,11
41,28,Male,125,8,3
42,32,Female,410,9,10
43,39,Male,80,6,2
44,37,Female,660,10,15
45,50,Male,240,7,5
46,26,Female,960,9,20
47,34,Male,70,5,1
48,42,Female,340,8,7
49,43,Male,90,6,2
50,48,Female,500,9,12
