Customer_ID,Age,Gender,Region,Product_Category,Purchase_Amount_USD,Purchase_Date,Campaign,Satisfaction_Score,Returns
1,55,Female,Africa,Clothing,117.45,2025-06-17,B,5,1
2,32,Female,Asia,Toys,79.27,2025-05-04,B,2,0
3,46,Other,Europe,Toys,10.5,2025-11-26,A,4,0
4,68,Other,Europe,Toys,122.92,2025-03-17,B,4,0
5,34,Male,Asia,Electronics,64.97,2025-07-13,B,5,0
6,35,Female,Americas,Clothing,93.68,2025-10-17,B,4,0
7,36,Female,Europe,Clothing,100.03,2025-05-20,B,4,2
8,47,Male,Africa,Home,74.64,2025-09-18,A,2,0
9,48,Other,Europe,Toys,91.46,2025-04-02,B,5,0
10,50,Female,Africa,Home,71.87,2025-04-30,B,4,0
11,18,Male,Europe,Electronics,124.53,2025-09-01,A,5,0
12,54,Male,Africa,Toys,84.57,2025-08-24,B,2,0
13,58,Female,Europe,Electronics,109.42,2024-12-18,C,3,0
14,44,Other,Africa,Home,111.2,2025-05-31,A,3,0
15,23,Male,Americas,Clothing,88.51,2025-02-13,A,5,0
16,37,Female,Asia,Clothing,47.84,2025-06-13,C,4,0
17,23,Female,Africa,Home,94.95,2025-02-18,B,1,0
18,67,Male,Europe,Toys,57.96,2025-04-15,C,2,0
19,21,Female,Americas,Clothing,129.73,2025-02-25,C,2,0
20,39,Male,Europe,Clothing,6.38,2025-10-31,A,1,0
21,42,Female,Asia,Home,42.12,2025-01-17,A,4,0
22,30,Male,Africa,Clothing,43.2,2025-01-28,B,1,0
23,28,Female,Europe,Home,36.62,2025-03-02,B,2,0
24,27,Other,Asia,Toys,5.0,2025-01-09,A,3,0
25,46,Male,Americas,Home,83.12,2025-11-08,B,2,0
26,43,Male,Africa,Toys,73.8,2025-09-29,C,4,0
27,52,Female,Africa,Home,98.33,2025-06-17,B,3,0
28,59,Female,Asia,Home,138.72,2025-01-19,B,2,0
29,62,Male,Africa,Clothing,94.84,2025-05-22,C,2,0
30,65,Male,Americas,Toys,5.0,2025-09-21,C,3,1
31,26,Female,Africa,Toys,56.6,2025-01-22,C,3,0
32,36,Male,Asia,Electronics,96.29,2025-03-15,C,3,0
33,46,Male,Americas,Toys,90.34,2025-07-22,C,2,0
34,32,Male,Asia,Toys,87.72,2025-03-11,A,3,0
35,20,Female,Europe,Electronics,9.99,2025-05-15,B,2,0
36,26,Female,Americas,Toys,76.66,2025-01-12,A,3,0
37,68,Male,Americas,Home,75.84,2025-04-13,A,2,0
38,43,Female,Americas,Clothing,132.85,2025-06-01,A,3,1
39,69,Male,Europe,Toys,89.87,2025-08-05,C,5,0
40,66,Female,Africa,Home,70.66,2025-05-05,B,4,0
41,63,Male,Americas,Home,113.21,2025-09-07,B,5,0
42,50,Female,Americas,Electronics,5.0,2025-08-19,B,3,0
43,29,Female,Asia,Clothing,34.13,2025-01-04,C,2,0
44,41,Male,Europe,Electronics,156.23,2025-05-30,C,3,0
45,42,Male,Europe,Electronics,77.18,2025-11-08,B,4,0
46,30,Male,Americas,Clothing,59.18,2025-07-15,B,3,1
47,54,Male,Americas,Toys,122.99,2025-08-10,A,1,0
48,29,Male,Americas,Toys,84.01,2025-11-12,A,1,1
49,20,Male,Asia,Home,46.82,2025-04-17,A,2,0
50,59,Male,Europe,Electronics,27.02,2025-10-30,A,2,1
51,33,Female,Americas,Toys,88.6,2025-09-04,C,3,0
52,50,Female,Asia,Home,51.71,2025-10-28,A,3,0
53,48,Other,Europe,Toys,82.46,2025-08-20,A,2,0
54,32,Female,Americas,Electronics,92.62,2025-02-15,A,2,0
55,61,Male,Africa,Toys,124.36,2024-12-05,C,4,0
56,61,Female,Asia,Clothing,84.39,2025-08-21,A,2,0
57,45,Female,Asia,Clothing,61.11,2025-09-28,C,5,0
58,33,Female,Africa,Toys,26.37,2025-03-01,C,4,0
